Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATUK HUSAM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) USTAZ FADHLI SHAARI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) DATO GHANI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) NASRUL ALI HASAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding(B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak(C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi(D)
31,MERANTI KECHIL 022/13/04,SEKOLAH MENENGAH KEBANGSAAN MERANTI,3,296,10,246,38,1,295,1,0
31,MERANTI KECHIL 022/13/04,SEKOLAH MENENGAH KEBANGSAAN MERANTI,4,377,19,296,60,2,377,0,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,1,290,27,207,49,0,283,7,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,2,357,32,264,58,1,355,2,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,3,474,36,363,68,3,470,4,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,4,442,26,361,54,1,442,0,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,5,433,23,352,56,1,432,1,0
32,POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,6,543,38,445,59,0,542,1,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.022 PASIR MAS
JUMLAH PEMILIH: 94,544                                                                                                                                                                                               MUKASURAT: 9/10",POHON BULOH 022/13/05,SMU (A) ISMAILIAH BINJAI MANIS,6,543,38,445,59,0,542,1,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",445,59,0,542,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK HUSAM,USTAZ FADHLI SHAARI,DATO GHANI,NASRUL ALI HASAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
33,KAMPUNG LALANG 022/13/06,SEKOLAH KEBANGSAAN BAYU LALANG,1,282,12,174,82,2,270,12,0
33,KAMPUNG LALANG 022/13/06,SEKOLAH KEBANGSAAN BAYU LALANG,2,318,18,215,80,1,314,4,0
33,KAMPUNG LALANG 022/13/06,SEKOLAH KEBANGSAAN BAYU LALANG,3,362,14,279,62,2,357,5,0
34,POHON TANJONG 022/13/07,SEKOLAH KEBANGSAAN KEDAI TANJONG,1,259,13,185,50,1,249,10,0
34,POHON TANJONG 022/13/07,SEKOLAH KEBANGSAAN KEDAI TANJONG,2,314,32,213,61,2,308,6,0
34,POHON TANJONG 022/13/07,SEKOLAH KEBANGSAAN KEDAI TANJONG,3,374,26,293,53,0,372,2,0
34,POHON TANJONG 022/13/07,SEKOLAH KEBANGSAAN KEDAI TANJONG,4,357,44,258,48,1,351,6,0
34,POHON TANJONG 022/13/07,SEKOLAH KEBANGSAAN KEDAI TANJONG,5,477,61,356,56,3,476,1,0
35,KAMPUNG SIRAM 022/13/08,SMU (A) AL-FALAH SIRAM,1,251,8,173,63,0,244,7,0
35,KAMPUNG SIRAM 022/13/08,SMU (A) AL-FALAH SIRAM,2,340,23,238,72,0,333,7,0
35,KAMPUNG SIRAM 022/13/08,SMU (A) AL-FALAH SIRAM,3,325,17,257,45,2,321,4,0
35,KAMPUNG SIRAM 022/13/08,SMU (A) AL-FALAH SIRAM,4,351,16,278,55,0,349,2,0
36,JEJAWI 022/13/09,SMU (A) DINIAH KG. BONGOR,1,299,12,181,101,1,295,4,0
36,JEJAWI 022/13/09,SMU (A) DINIAH KG. BONGOR,2,366,14,273,75,2,364,2,0
36,JEJAWI 022/13/09,SMU (A) DINIAH KG. BONGOR,3,359,12,233,112,2,359,0,0
37,BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,1,321,29,201,80,3,313,8,0
37,BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,2,359,40,254,61,1,356,3,0
37,BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,3,428,39,314,70,0,423,5,0
37,BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,4,425,34,321,68,0,423,2,0
37,BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,5,492,46,392,47,0,485,7,0
"HELAIAN MATA (SCORE SHEET)                                                        (BORANG SPR 760 Pin. 1/99) BAHAGIAN PILIHAN RAYA NEGERI: P.022 PASIR MAS
JUMLAH PEMILIH: 94,544                                                                                                                                                                                             MUKASURAT: 10/10",BANGGOL SETOL 022/13/10,SMU (A) KHAIRIAH BANGGOL SETOL,5,492,46,392,47,0,485,7,0
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),"Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding
(B)",392,47,0,485,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),DATUK HUSAM,USTAZ FADHLI SHAARI,DATO GHANI,NASRUL ALI HASAN,Jumlah undian oleh pemilih,"Bilangan kertas undi yang ditolak
(C)","Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi
(D)"
38,TOK SANGKUT 022/13/11,SEKOLAH KEBANGSAAN TOK SANGKUT,1,225,22,115,85,0,222,3,0
38,TOK SANGKUT 022/13/11,SEKOLAH KEBANGSAAN TOK SANGKUT,2,359,26,239,91,1,357,2,0
38,TOK SANGKUT 022/13/11,SEKOLAH KEBANGSAAN TOK SANGKUT,3,386,25,262,96,0,383,3,0
39,TASEK BERANGAN 022/13/12,SMU (A) RAHMANIAH REPEK,1,287,22,177,81,2,282,5,0
39,TASEK BERANGAN 022/13/12,SMU (A) RAHMANIAH REPEK,2,472,31,332,101,5,469,3,0
39,TASEK BERANGAN 022/13/12,SMU (A) RAHMANIAH REPEK,3,482,28,358,94,1,481,1,0
JUMLAH,JUMLAH,JUMLAH,169,66145,6439,44444,13727,543,65153,819,173
