UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH (1),PH (1) CANDIDATE,PH (1) CANDIDATE SEX,PH (1) CANDIDATE AGE,PH (1) VOTE,PH (2),PH (2) CANDIDATE,PH (2) CANDIDATE SEX,PH (2) CANDIDATE AGE,PH (2) VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,STAR,STAR CANDIDATE,STAR CANDIDATE SEX,STAR CANDIDATE AGE,STAR VOTE,PBDSB,PBDSB CANDIDATE,PBDSB CANDIDATE SEX,PBDSB CANDIDATE AGE,PBDSB VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.218_N.71_218/71/POS_1,SARAWAK,POSTAL VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/POS,UNDI POS,UNDI POS,1,68,BN,ROSEY YUNUS,FEMALE,60,35,PKR,BILL KAYONG,MALE,43,0,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,0,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,0,35,2,31,,
P.218_N.71_218/71/00_1,SARAWAK,EARLY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/00,UNDI AWAL,"RUANG A,BANGUNAN RUAI KENYALANG, IPD MIRI",1,25,BN,ROSEY YUNUS,FEMALE,60,24,PKR,BILL KAYONG,MALE,43,1,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,0,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,0,25,0,0,,
P.218_N.71_218/71/01_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/01,BATU NIAH,SEK. JENIS KEB. CHEE MUNG NIAH,1,241,BN,ROSEY YUNUS,FEMALE,60,150,PKR,BILL KAYONG,MALE,43,45,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,30,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,11,236,5,0,,
P.218_N.71_218/71/01_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/01,BATU NIAH,SEK. JENIS KEB. CHEE MUNG NIAH,2,338,BN,ROSEY YUNUS,FEMALE,60,204,PKR,BILL KAYONG,MALE,43,61,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,56,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,12,333,5,0,,
P.218_N.71_218/71/01_3,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/01,BATU NIAH,SEK. JENIS KEB. CHEE MUNG NIAH,3,288,BN,ROSEY YUNUS,FEMALE,60,157,PKR,BILL KAYONG,MALE,43,86,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,34,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,6,283,5,0,,
P.218_N.71_218/71/02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/02,NIAH,SEK. KEB. RANCANGAN SEPUPOK SEBATU NIAH,1,298,BN,ROSEY YUNUS,FEMALE,60,121,PKR,BILL KAYONG,MALE,43,28,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,92,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,48,289,9,0,,
P.218_N.71_218/71/02_2,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/02,NIAH,SEK. KEB. RANCANGAN SEPUPOK SEBATU NIAH,2,388,BN,ROSEY YUNUS,FEMALE,60,169,PKR,BILL KAYONG,MALE,43,42,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,137,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,38,386,2,0,,
P.218_N.71_218/71/02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/02,NIAH,DEWAN MASYARAKAT SEPUPOK,1,209,BN,ROSEY YUNUS,FEMALE,60,109,PKR,BILL KAYONG,MALE,43,63,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,22,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,12,206,3,0,,
P.218_N.71_218/71/02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/02,NIAH,SEK. KEB. KPG. TARIKAN KUALA NIAH,1,163,BN,ROSEY YUNUS,FEMALE,60,125,PKR,BILL KAYONG,MALE,43,32,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,0,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,2,159,4,0,,
P.218_N.71_218/71/02_1,SARAWAK,ORDINARY VOTE,P.218,SIBUTI,N.71,BEKENU,218/71/02,NIAH,SEK. KEB. KITA NIAH,1,387,BN,ROSEY YUNUS,FEMALE,60,336,PKR,BILL KAYONG,MALE,43,18,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - RING,AUSTIN SIGI ANAK MELU,MALE,,9,INDEPENDENT - FLOWER,JOU @ PETER ANAK JELIN,MALE,,21,384,3,0,,
